game_pk,official_date,season,home_team,away_team,corte,inicio_utc,dif_pitagorica,dif_descanso,n_previos_local,n_previos_visita,p_v1,p_tasa_base,p_mercado,resultado_local,brier_v1,brier_tasa_base,brier_mercado
823050,2026-06-01,2026,St. Louis Cardinals,Texas Rangers,2026-06-01T17:00:00+00:00,2026-06-01T23:45:00+00:00,-0.10023476356344391,0.0,162,162,0.4387120931236791,0.5400813591768365,0.46954314720812185,0,0.19246830065295967,0.2916878745302991,0.220470767090108
823131,2026-06-01,2026,Seattle Mariners,New York Mets,2026-06-01T17:00:00+00:00,2026-06-02T01:40:00+00:00,-0.0009667140103328808,0.0,162,162,0.5404650663308763,0.5400813591768365,0.5367088607594936,1,0.2111723552622859,0.21152515617662604,0.21463867969876624
823702,2026-06-01,2026,Minnesota Twins,Chicago White Sox,2026-06-01T17:00:00+00:00,2026-06-01T23:40:00+00:00,-0.051276806135534814,0.0,162,162,0.48878423159572754,0.5400813591768365,0.582089552238806,1,0.26134156186517066,0.21152515617662604,0.17464914234796167
823781,2026-06-01,2026,Milwaukee Brewers,San Francisco Giants,2026-06-01T17:00:00+00:00,2026-06-01T23:40:00+00:00,0.08033340301335146,0.0,162,162,0.6217214534864333,0.5400813591768365,0.568922305764411,1,0.14309465875241667,0.21152515617662604,0.18582797846747193
824027,2026-06-01,2026,Los Angeles Angels,Colorado Rockies,2026-06-01T17:00:00+00:00,2026-06-02T01:38:00+00:00,0.03273924012352558,0.0,162,162,0.5746759521090683,0.5400813591768365,0.6519721577726217,0,0.33025244993246416,0.2916878745302991,0.4250676945106884
824510,2026-06-01,2026,Cincinnati Reds,Kansas City Royals,2026-06-01T17:00:00+00:00,2026-06-01T23:10:00+00:00,0.0026813953483473263,0.0,162,162,0.5441922166653591,0.5400813591768365,0.6225961538461539,0,0.29614516867915713,0.2916878745302991,0.38762597078402367
825078,2026-06-01,2026,Arizona Diamondbacks,Los Angeles Dodgers,2026-06-01T17:00:00+00:00,2026-06-02T01:40:00+00:00,-0.12016922367659477,0.0,162,162,0.41861914200503914,0.5400813591768365,0.4029484029484029,1,0.3380037020429569,0.21152515617662604,0.3564706095418626
822728,2026-06-02,2026,Washington Nationals,Miami Marlins,2026-06-02T17:00:00+00:00,2026-06-02T22:45:00+00:00,-0.02962691447374527,0.0,162,162,0.5110592848460553,0.5400813591768365,0.5165394402035622,0,0.2611815926273615,0.2916878745302991,0.26681299328580943
822971,2026-06-02,2026,Tampa Bay Rays,Detroit Tigers,2026-06-02T17:00:00+00:00,2026-06-02T22:40:00+00:00,0.012200390113853432,0.0,162,162,0.5538931431547378,0.5400813591768365,0.5639097744360902,0,0.3067976140338349,0.2916878745302991,0.3179942337045622
823052,2026-06-02,2026,St. Louis Cardinals,Texas Rangers,2026-06-02T17:00:00+00:00,2026-06-02T23:45:00+00:00,-0.09869629702410182,0.0,162,162,0.44027205991185575,0.5400813591768365,0.5025510204081632,0,0.1938394867390287,0.2916878745302991,0.2525575281132861
823129,2026-06-02,2026,Seattle Mariners,New York Mets,2026-06-02T17:00:00+00:00,2026-06-03T01:40:00+00:00,0.0007654308796637421,0.0,162,162,0.5422353306984886,0.5400813591768365,0.5760598503740648,1,0.20954849246072207,0.21152515617662604,0.17972525046486032
823460,2026-06-02,2026,Philadelphia Phillies,San Diego Padres,2026-06-02T17:00:00+00:00,2026-06-02T22:40:00+00:00,-0.014436112415406654,0.0,162,162,0.5266677958090781,0.5400813591768365,0.57356608478803,1,0.22404337552423662,0.21152515617662604,0.18184588404300966
823541,2026-06-02,2026,New York Yankees,Cleveland Guardians,2026-06-02T17:00:00+00:00,2026-06-02T23:05:00+00:00,0.04480535906618721,0.0,162,162,0.5867682471358862,0.5400813591768365,0.6928104575163399,0,0.3442969758469204,0.2916878745302991,0.47998633004400015
823700,2026-06-02,2026,Minnesota Twins,Chicago White Sox,2026-06-02T17:00:00+00:00,2026-06-02T23:40:00+00:00,-0.05108009220387427,0.0,162,162,0.4889865592921782,0.5400813591768365,0.46446700507614214,1,0.26113473658404646,0.21152515617662604,0.2867955886521168
823782,2026-06-02,2026,Milwaukee Brewers,San Francisco Giants,2026-06-02T17:00:00+00:00,2026-06-02T23:40:00+00:00,0.09176693680872516,0.0,162,162,0.6327247408848237,0.5400813591768365,0.6941431670281994,1,0.13489111595811992,0.21152515617662604,0.0935484022755399
824026,2026-06-02,2026,Los Angeles Angels,Colorado Rockies,2026-06-02T17:00:00+00:00,2026-06-03T01:38:00+00:00,0.02850350005096447,0.0,162,162,0.5704089591079271,0.5400813591768365,0.597051597051597,0,0.32536638063058887,0.2916878745302991,0.3564706095418626
