game_pk,official_date,season,home_team,away_team,corte,y,dif_concentracion,hhi_local,hhi_visita,brazos_local,brazos_visita,dif_carga_relevo,p_v12,p_v16,p_mercado,brier_v12,brier_v16,brier_mercado,delta_brier_v16_v12
822986,2026-05-05,2026,Tampa Bay Rays,Toronto Blue Jays,2026-05-05T17:00:00+00:00,1,-0.03906661425769453,0.1547792586422324,0.19384587289992694,8,6,0.48,0.4776914449749644,0.47991168213769203,0.5406091370558376,0.2728062266523406,0.27049185837684503,0.21103996495658223,-0.002314368275495582
823142,2026-05-05,2026,Seattle Mariners,Atlanta Braves,2026-05-05T17:00:00+00:00,0,-0.002021429131147112,0.14783520773847678,0.1498566368696239,7,8,-0.23,0.48877310809113217,0.48865893460481885,0.5429292929292929,0.23889915119306557,0.23878755436911664,0.29477221712070195,-0.00011159682394892845
823227,2026-05-05,2026,San Francisco Giants,San Diego Padres,2026-05-05T17:00:00+00:00,0,0.02414693584307298,0.1823808665344631,0.1582339306913901,6,7,-0.04,0.5085800758526556,0.5068177133530138,0.5454545454545454,0.25865369355429296,0.2568641945683777,0.29752066115702475,-0.0017894989859152388
823553,2026-05-05,2026,New York Yankees,Texas Rangers,2026-05-05T17:00:00+00:00,1,-0.14833237491538698,0.17278591423587164,0.3211182891512586,7,4,0.23,0.5783868186524576,0.5838708547680057,0.5355329949238579,0.1777576746859957,0.17316346551151018,0.21572959880440104,-0.004594209174485525
823873,2026-05-05,2026,Miami Marlins,Baltimore Orioles,2026-05-05T17:00:00+00:00,0,0.06867815595002634,0.18325068870523417,0.11457253275520783,7,10,-0.41,0.5580050517793557,0.553498105275725,0.565,0.3113696378112814,0.3063601525438175,0.3192249999999999,-0.00500948526746392
824040,2026-05-05,2026,Los Angeles Angels,Chicago White Sox,2026-05-05T17:00:00+00:00,1,0.0038311462127014473,0.20986652602539654,0.2060353798126951,7,6,0.33,0.486515846652765,0.48603142436787716,0.5089058524173028,0.2636659757387267,0.26416369673731316,0.24117346178997598,0.0004977209985864706
824119,2026-05-05,2026,Kansas City Royals,Cleveland Guardians,2026-05-05T17:00:00+00:00,1,-0.017330318238024167,0.18002081165452652,0.1973511298925507,6,6,-1.04,0.5205000994594725,0.521360808623236,0.47715736040609136,0.22992015461837575,0.22909547552180254,0.27336442577752584,-0.0008246790965732165
824200,2026-05-05,2026,Houston Astros,Los Angeles Dodgers,2026-05-05T17:00:00+00:00,1,0.030645301434183148,0.18070532544378698,0.15006002400960383,8,7,2.06,0.4584153791113742,0.4562438348015245,0.3251121076233184,0.2933139015830765,0.29567076719135177,0.45547366727663946,0.0023568656082752493
824281,2026-05-05,2026,Detroit Tigers,Boston Red Sox,2026-05-05T17:00:00+00:00,0,-0.006219932982844845,0.15875329723726223,0.16497323022010707,9,7,0.89,0.518092251528195,0.518251327689519,0.5796019900497512,0.2684195810935545,0.2685844386519492,0.3359384668696319,0.00016485755839468208
824682,2026-05-05,2026,Chicago Cubs,Cincinnati Reds,2026-05-05T17:00:00+00:00,1,0.0852141381279373,0.23034482758620692,0.14513068945826962,5,8,-0.88,0.5849538819073801,0.5795041507355698,0.6004901960784313,0.172263280143753,0.1768167592486144,0.15960808342945024,0.0045534791048613965
825092,2026-05-05,2026,Arizona Diamondbacks,Pittsburgh Pirates,2026-05-05T17:00:00+00:00,1,-0.1441597304795878,0.26917360285374553,0.41333333333333333,7,3,0.71,0.506044269665216,0.5149149681764241,0.5566750629722922,0.24399226353056985,0.23530748809927962,0.1965369997906211,-0.008684775431290231
822740,2026-05-06,2026,Washington Nationals,Minnesota Twins,2026-05-06T17:00:00+00:00,1,-0.035210057014084556,0.1693319288837818,0.20454198589786635,7,7,-0.04,0.5141352981955591,0.5161240659970142,0.4483627204030227,0.23606450845951824,0.23413591950726187,0.30430368824115367,-0.001928588952256366
822985,2026-05-06,2026,Tampa Bay Rays,Toronto Blue Jays,2026-05-06T17:00:00+00:00,1,0.059952708240938235,0.20886446556461424,0.148911757323676,6,8,-0.18,0.4819637965465652,0.4779369237845106,0.544529262086514,0.2683615080884485,0.27254985554757993,0.20745359309545547,0.004188347459131436
